1. Lionel Messi | 36 goals
2. Kylian Mbappe | 33 goals
3. Fabio Quagliarella | 26 goals
4. Mbaye Diagne | 30 goals (1.5x)
5. Mohamed Salah  22 goals
6. Robert Lewandowski | 22 goals
7. Nicolas Pepe | 22 goals
8. Duvan Zapata | 22 goals
9. Pierre-Emerick Aubameyang | 22 goals
10. Sadio Mane | 22 goals
