1. Luis Suarez | 40 goals
2. Gonazlo Higuain | 36 goals
3. Cristiano Ronaldo | 35 goals
4. Jonas | 31 goals
5. Robert Lewandowski | 30 goals
6. Zlatan Ibrahimovic | 38 goals (1.5x)
7. Islam Slimani | 27 goals
8. Lionel Messi | 26 goals
9. Pierre-Emerick Aubameyang | 25 goals
10. Harry Kane | 25 goals
